STATEFP, COUNTYFP, TLID, TFIDL, TFIDR, MTFCC, FULLNAME, SMID, LFROMADD, LTOADD, RFROMADD, RTOADD, ZIPL, ZIPR, FEATCAT, HYDROFLG, RAILFLG, ROADFLG, OLFFLG, PASSFLG, EXTTYP, TTYP, DECKEDROAD, ARTPATH, PERSIST, GCSEFLG, OFFSETL, OFFSETR, TNIDF, TNIDT
78, 010, 635722288, 258452431, 258452430, P0001, , , , , , , , , , N, N, N, N, , N, , , , , N, N, N, 423309842, 423311057
78, 010, 635900869, 267926678, 266202123, S1200, E End Rd, 7079, , , , , , , S, N, N, Y, N, , N, , N, N, , N, N, N, 99127348, 99123233
78, 010, 652834754, 267926678, 266202123, S1200, E End Rd, 7079, , , , , , , S, N, N, Y, N, , N, , N, N, , N, N, N, 407152857, 428424147
78, 010, 635901026, 258742706, 258742707, S1400, , , , , , , , , , N, N, Y, N, , N, , N, N, , N, N, N, 99123249, 99123245
78, 010, 613400863, 258742705, 266200575, S1500, , 7079, , , , , , , , N, N, Y, N, , N, , N, N, , N, N, N, 407152619, 407152574
78, 010, 635718874, 258742705, 258742705, S1400, , 7079, , , , , , , , N, N, Y, N, , N, , N, N, , N, N, N, 423309812, 99123247
78, 010, 635718518, 258742702, 258450128, P0001, , , , , , , , , , N, N, N, N, , N, , , , , N, N, N, 423309669, 423309670
78, 010, 204619736, 258450143, 266200565, P0001, , , , , , , , , , N, N, N, N, , N, , , , , N, N, N, 99129970, 99123585
78, 010, 635718700, 267926734, 266203215, P0001, , , , , , , , , , N, N, N, N, , N, , , , , N, N, N, 423309737, 423309738
78, 010, 635718718, 258450239, 258450238, P0001, , , , , , , , , , N, N, N, N, , N, , , , , N, N, N, 423309747, 423309748
78, 010, 635718714, 258450239, 258742943, S1400, , 7079, , , , , , , , N, N, Y, N, , N, , N, N, , N, N, N, 99123766, 423309747
78, 010, 204615727, 258450246, 258452422, S1400, , 7079, , , , , , , , N, N, Y, N, , N, , N, N, , N, N, N, 99123675, 99123678
78, 010, 204606630, 258742698, 206181699, P0001, , , , , , , , , , N, N, N, N, , N, , , , , N, N, N, 99123234, 99123220
78, 010, 204612289, 263671062, 263671062, S1740, , 13191, , , , , , , , N, N, Y, N, , N, , N, N, , N, N, N, 99127370, 99123230
78, 010, 204612288, 263671062, 206183605, P0001, , , , , , , , , , N, N, N, N, , N, , , , , N, N, N, 99127370, 99127369
78, 010, 204611394, 258742656, 258745401, S1200, Usvi Hwy 62, 7079, , , , , , , S, N, N, Y, N, , N, , , N, , N, N, N, 99126708, 99126710
78, 010, 204611369, 266200680, 266202092, S1400, , 7079, , , , , , , , N, N, Y, N, , N, , N, N, , N, N, N, 99126569, 99126688
78, 010, 204611497, 258450820, 264002147, S1200, Usvi Hwy 60, 7079, , , , , , , S, N, N, Y, N, , N, , N, N, , N, N, N, 99126790, 99126693
78, 010, 635719723, 258450805, 258450804, P0001, , , , , , , , , , N, N, N, N, , N, , , , , N, N, N, 423310131, 423310132
78, 010, 204619541, 258742906, 206183383, S1400, Ginger Thoma, 7079, , , , , , , S, N, N, Y, N, , N, , N, N, , N, N, N, 99129876, 99126660
78, 010, 635719770, 258450831, 258450830, P0001, , , , , , , , , , N, N, N, N, , N, , , , , N, N, N, 423310150, 423310151
78, 010, 635719769, 258450831, 258450833, S1400, , , , , , , , , , N, N, Y, N, , N, , N, N, , N, N, N, 423310151, 99126781
78, 010, 613400267, 258450831, 258450833, S1400, , 7079, , , , , , , , N, N, Y, N, , N, , N, N, , N, N, N, 99126781, 407152282
78, 010, 643812198, 264002147, 264002090, P0001, , , , , , , , , , N, N, N, N, , N, , , , , N, N, N, 423310169, 423310190
78, 010, 613400163, 264002147, 266202074, S1200, Usvi Hwy 60, , , , , , , , S, N, N, Y, N, , N, , N, N, , N, N, N, 407152214, 99126671
78, 010, 648370051, 264002147, 266200681, P0001, , , , , , , , , , N, N, N, N, , N, , , , , N, N, N, 423310171, 426807782
78, 010, 635719871, 263955708, 258450890, P0001, , , , , , , , , , N, N, N, N, , N, , , , , N, N, N, 423309736, 423309843
78, 010, 635695437, 258450907, 206181750, S1400, , 7079, , , , , , , , N, N, Y, N, , N, , N, N, , N, N, N, 99126789, 423295885
78, 010, 616493527, 258450915, 258742942, P0001, , , , , , , , , , N, N, N, N, , B, , , , , N, N, N, 99123741, 408499916
78, 010, 635899322, 258742940, 258745619, L4150, Caribbean, 7078, , , , , , , L, N, N, N, Y, , N, , , N, , N, N, N, 423312614, 99123600
78, 010, 635719939, 258450937, 263869153, P0001, , , , , , , , , , N, N, N, N, , N, , , , , N, N, N, 423310215, 423310216
78, 010, 635719956, 258450941, 258742339, P0001, , , , , , , , , , N, N, N, N, , N, , , , , N, N, N, 423310222, 423310223
78, 010, 635719955, 258450941, 258450943, S1200, Usvi Hwy 60, 7079, , , , , , , S, N, N, Y, N, , N, , N, N, , N, N, N, 423310223, 99126588
78, 010, 635719951, 258450939, 265956410, P0001, , , , , , , , , , N, N, N, N, , N, , , , , N, N, N, 423310220, 423310219
78, 010, 635719950, 258450947, 265956410, P0001, , , , , , , , , , N, N, N, N, , N, , , , , N, N, N, 423310221, 423310220
78, 010, 635719960, 258450947, 258450945, S1400, , , , , , , , , , N, N, Y, N, , N, , N, N, , N, N, N, 99126609, 423310225
78, 010, 204614173, 261643430, 261643430, S1400, , , , , , , , , , N, N, Y, N, , N, , N, N, , N, N, N, 99128427, 407130264
78, 010, 613401019, 261643430, 261643430, S1750, , 7079, , , , , , , , N, N, Y, N, , N, , , N, , N, N, N, 99128429, 407152722
78, 010, 635720007, 258450969, 261643430, S1400, , , , , , , , , , N, N, Y, N, , N, , N, N, , N, N, N, 99123757, 423310247
78, 010, 635718712, 258450971, 261650396, H3010, , 7078, , , , , , , , Y, N, N, N, , N, , , N, P, N, N, N, 423309745, 99131170
78, 010, 635720001, 265955108, 265954384, P0001, , , , , , , , , , N, N, N, N, , N, , , , , N, N, N, 423310241, 423310240
78, 010, 635720021, 258450981, 258452378, S1400, , 7079, , , , , , , , N, N, Y, N, , N, , N, N, , N, N, N, 99123801, 423310251
78, 010, 204607450, 258451022, 206181959, S1400, Ridge Rd, 12953, , , , , , , S, N, N, Y, N, , N, , N, N, , N, N, N, 99123896, 99123900
78, 010, 635722210, 258452373, 258452371, S1400, Catherinen's Way, 7079, , , , , , , S, N, N, Y, N, , N, , N, N, , N, N, N, 423311033, 99123997
78, 010, 652834891, 267926754, 258451021, P0001, , , , , , , , , , N, N, N, N, , N, , , , , N, N, N, 423310269, 428424196
78, 010, 635720093, 258451020, 258451022, S1400, Terrance Rd, 12953, , , , , , , S, N, N, Y, N, , N, , N, N, , N, N, N, 99123892, 423310280
78, 010, 613401151, 266203315, 206181974, S1400, , 7079, , , , , , , , N, N, Y, N, , N, , , N, , N, N, N, 99123948, 407152802
78, 010, 635720049, 267926748, 266800295, P0001, , , , , , , , , , N, N, N, N, , N, , , , , N, N, N, 423310261, 423310262
78, 010, 204619297, 258451056, 206182899, S1400, , 7079, , , , , , , , N, N, Y, N, , N, , N, N, , N, N, N, 99123864, 99129757
78, 010, 204619299, 258451056, 258451056, S1400, , , , , , , , , , N, N, Y, N, , N, , N, N, , N, N, N, 99129757, 99129758
78, 010, 204607497, 258451051, 266203313, S1400, Maggie Hill, 7079, , , , , , , S, N, N, Y, N, , N, , N, N, , N, N, N, 99123935, 99123945
78, 010, 204619434, 258451051, 258451051, S1400, , , , , , , , , , N, N, Y, N, , N, , N, N, , N, N, N, 99129814, 99123942
78, 010, 635718493, 258451070, 258452334, P0001, , , , , , , , , , N, N, N, N, , N, , , , , N, N, N, 423309660, 423309658
78, 010, 635720176, 258451073, 267926760, S1200, E End Rd, 7079, , , , , , , S, N, N, Y, N, , N, , , N, , N, N, N, 423310302, 423310310
78, 010, 635720153, 258451073, 258452353, P0001, , , , , , , , , , N, N, N, N, , N, , , , , N, N, N, 423310301, 423310302
78, 010, 635903927, 265954454, 265952003, S1400, , 7079, , , , , , , , N, N, Y, N, , N, , N, N, , N, N, N, 423313803, 99126716
78, 010, 648373864, 266202075, 258450820, P0001, , , , , , , , , , N, N, N, N, , N, , , , , N, N, N, 426809107, 423310135
78, 010, 635898398, 258747023, 258747023, S1400, , , , , , , , , , N, N, Y, N, , N, , N, N, , N, N, N, 423312448, 99126606
78, 010, 204611249, 258747023, 258747023, H3010, , 7078, , , , , , , , Y, N, N, N, , N, , , N, I, N, N, N, 99126572, 99126592
78, 010, 635899331, 258742941, 258742940, P0001, , , , , , , , , , N, N, N, N, , N, , , , , N, N, N, 423312616, 423312617
78, 010, 204607272, 258742941, 228804082, S1400, , 7079, , , , , , , , N, N, Y, N, , N, , N, N, , N, N, N, 99123746, 99123747
78, 010, 204607320, 258742943, 258742943, S1400, , 7079, , , , , , , , N, N, Y, N, , N, , N, N, , N, N, N, 99123790, 99123786
78, 010, 635899329, 258742943, 258742941, S1200, E End Rd, 7079, , , , , , , S, N, N, Y, N, , N, , , N, , N, N, N, 99123744, 423312617
78, 010, 616493482, 258742943, 265956369, S1200, E End Rd, , , , , , , , S, N, N, Y, N, , N, , , N, , N, N, N, 408499896, 99123789
78, 010, 635719925, 265951958, 265951958, S1400, Seascape, , , , , , , , S, N, N, Y, N, , N, , N, N, , N, N, N, 423310210, 99126618
78, 010, 635719783, 258742967, 261635347, P0001, , , , , , , , , , N, N, N, N, , N, , , , , N, N, N, 423310156, 423310155
78, 010, 652834622, 267926617, 258742930, P0002, , 7078, , , , , , , , N, N, N, N, , N, , , , , N, N, N, 423312607, 428424098
78, 010, 645482438, 263955709, 263955709, S1400, , , , , , , , , , N, N, Y, N, , N, , N, N, , N, N, N, 99129903, 408456537
78, 010, 635899304, 263869258, 258742930, P0001, , , , , , , , , , N, N, N, N, , N, , , , , N, N, N, 423311393, 423312607
78, 010, 635904807, 258745633, 266200764, P0004, , , , , , , , , , N, N, N, N, , N, , , , , N, N, N, 423314134, 423314135
78, 010, 204619309, 267926758, 267926758, S1400, Dean Hill Rd, 7079, , , , , , , S, N, N, Y, N, , N, , N, N, , N, N, N, 99123877, 99123889
78, 010, 204607485, 264434029, 264434027, S1400, Ridge Rd, , , , , , , , S, N, N, Y, N, , N, , N, N, , N, N, N, 99123924, 99123926
78, 010, 648376286, 266203235, 264434031, S1400, Signal Hill Rd, 12953, , , , , , , S, N, N, Y, N, , N, , N, N, , N, N, N, 425722428, 426810004
78, 010, 204619667, 266200691, 266200691, S1400, , , , , , , , , , N, N, Y, N, , N, , N, N, , N, N, N, 99129934, 99123662
78, 010, 643567576, 264434030, 264434029, S1400, , , , , , , , , , N, N, Y, N, , N, , , N, , N, N, N, 425722429, 425229946
78, 010, 652834760, 267926682, 267926682, S1400, , , , , , , , , , N, N, Y, N, , N, , N, N, , N, N, N, 428424149, 99123227
78, 010, 613400864, 266200575, 266200575, S1400, , 7079, , , , , , , , N, N, Y, N, , N, , , N, , N, N, N, 407152619, 407152620
78, 010, 204614000, 266200681, 266200681, S1400, Maria Ln E, 7079, , , , , , , S, N, N, Y, N, , N, , N, N, , N, N, N, 99128371, 99126738
78, 010, 635719820, 266200681, 258450890, P0001, , , , , , , , , , N, N, N, N, , N, , , , , N, N, N, 423310170, 423309736
78, 010, 635719817, 266200681, 266200681, H3010, , 7078, , , , , , , , Y, N, N, N, , N, , , N, I, N, N, N, 99123605, 423310170
78, 010, 645483894, 266200692, 227206500, S1400, , 7079, , , , , , , , N, N, Y, N, , N, , N, N, , N, N, N, 99129968, 407152771
78, 010, 648370094, 266200692, 266200691, P0001, , , , , , , , , , N, N, N, N, , N, , , , , N, N, N, 99123660, 426807799
78, 010, 642392664, 266200692, 266200691, S1400, , 13191, , , , , , , , N, N, Y, N, , N, , N, N, , N, N, N, 425314284, 99123659
78, 010, 204607221, 266200760, 266200758, S1740, , 7079, , , , , , , , N, N, Y, N, , N, , N, N, , N, N, N, 99123705, 99123707
78, 010, 204619623, 266200761, 266200764, S1400, , 7079, , , , , , , , N, N, Y, N, , N, , N, N, , N, N, N, 99129908, 99129910
78, 010, 204607252, 266200761, 266200761, S1400, , 7079, , , , , , , , N, N, Y, N, , N, , N, N, , N, N, N, 99123729, 99123730
78, 010, 648370288, 266200761, 266200760, P0001, , , , , , , , , , N, N, N, N, , N, , , , , N, N, N, 407132051, 426807864
78, 010, 204619527, 266200761, 266200761, S1400, , 7079, , , , , , , , N, N, Y, N, , N, , N, N, , N, N, N, 99129866, 99129867
78, 010, 613400522, 266200765, 266200765, S1400, , 7079, , , , , , , , N, N, Y, N, , N, , , N, , N, N, N, 407152430, 407130796
78, 010, 635903899, 267926756, 265950999, L4150, Caribbean, 7078, , , , , , , L, N, N, N, Y, , N, , , N, , N, N, N, 99128014, 423313795
78, 010, 635903900, 267926756, 265953042, L4150, Caribbean, 7078, , , , , , , L, N, N, N, Y, , N, , , N, , N, N, N, 423313795, 423313794
78, 010, 613400580, 266201987, 266201987, S1400, , 7079, , , , , , , , N, N, Y, N, , N, , , N, , N, N, N, 407152465, 407152466
78, 010, 616385648, 266201987, 266201987, S1400, , , , , , , , , , N, N, Y, N, , N, , N, N, , N, N, N, 99123752, 408456714
78, 010, 204607101, 266201987, 258745628, L4150, Caribbean, 7078, , , , , , , L, N, N, N, Y, , N, , , N, , N, N, N, 99123602, 99123601
78, 010, 635719855, 267926684, 261635347, P0001, , , , , , , , , , N, N, N, N, , N, , , , , N, N, N, 423310167, 423310185
78, 010, 204611331, 266202074, 266202074, S1400, , 7079, , , , , , , , N, N, Y, N, , N, , N, N, , N, N, N, 99126656, 99126657
78, 010, 635723300, 266202077, 263884450, S1400, , 7079, , , , , , , , N, N, Y, N, , N, , N, N, , N, N, N, 407153193, 423311396
78, 010, 635719751, 266202078, 266202078, S1400, , , , , , , , , , N, N, Y, N, , N, , N, N, , N, N, N, 423310144, 99129873
78, 010, 204619346, 266202092, 266202092, S1400, , 7079, , , , , , , , N, N, Y, N, , N, , N, N, , N, N, N, 99126688, 99129775
78, 010, 204612260, 266202125, 266202125, S1400, , 7079, , , , , , , , N, N, Y, N, , N, , N, N, , N, N, N, 99127351, 407130357
78, 010, 648376168, 266203194, 266203310, S1400, Maggie Hill, , , , , , , , S, N, N, Y, N, , N, , , N, , N, N, N, 426809958, 407130334
78, 010, 635718857, 266202123, 258742698, S1400, , , , , , , , , , N, N, Y, N, , N, , N, N, , N, N, N, 99123261, 423309807
78, 010, 648376166, 266203194, 258451051, P0001, , , , , , , , , , N, N, N, N, , N, , , , , N, N, N, 99123941, 426809958
78, 010, 653407090, 266203310, 258452358, S1400, Villa Madaline, 7079, , , , , , , S, N, N, Y, N, , N, , N, N, , N, N, N, 99129789, 423311025
78, 010, 652834755, 267926679, 266202123, S1200, E End Rd, 7079, , , , , , , S, N, N, Y, N, , N, , N, N, , N, N, N, 428424147, 99123254
78, 010, 635901025, 267926679, 258742705, S1400, , 7079, , , , , , , , N, N, Y, N, , N, , N, N, , N, N, N, 99123246, 423309812
78, 010, 652834752, 267926679, 267926665, P0002, , , , , , , , , , N, N, N, N, , N, , , , , N, N, N, 423309813, 428424146
78, 010, 647876192, 267926683, 265958394, P0002, , , , , , , , , , N, N, N, N, , N, , , , , N, N, N, 425081131, 99123207
78, 010, 652834769, 267926685, 258452405, S1400, , , , , , , , , , N, N, Y, N, , N, , N, N, , N, N, N, 428424152, 423311045
78, 010, 204619329, 267926687, 267926687, S1400, , , , , , , , , , N, N, Y, N, , N, , N, N, , N, N, N, 99128290, 99129763
78, 010, 652834783, 267926691, 267926700, P0001, , , , , , , , , , N, N, N, N, , N, , , , , N, N, N, 428424156, 428424157
78, 010, 652834793, 267926697, 267926700, P0001, , , , , , , , , , N, N, N, N, , N, , , , , N, N, N, 428424157, 428424160
78, 010, 635719985, 267942753, 258450957, S1200, Usvi Hwy 60, 7079, , , , , , , S, N, N, Y, N, , N, , N, N, , N, N, N, 423310237, 99127991
78, 010, 204613154, 267926711, 258450978, S1400, , 7079, , , , , , , , N, N, Y, N, , N, , N, N, , N, N, N, 99126591, 99127975
78, 010, 652834850, 267926731, 261640906, S1400, Yellow Cliff Valley, 7079, , , , , , , S, N, N, Y, N, , N, , N, N, , N, N, N, 428424181, 99123998
78, 010, 204615769, 267926731, 267926711, S1400, , , , , , , , , , N, N, Y, N, , N, , N, N, , N, N, N, 99127972, 99127975
78, 010, 204619338, 267926735, 266201957, S1400, , , , , , , , , , N, N, Y, N, , N, , N, N, , N, N, N, 99129768, 99129769
78, 010, 204613173, 267926749, 266201956, S1200, Usvi Hwy 60, 7079, , , , , , , S, N, N, Y, N, , N, , N, N, , N, N, N, 99127987, 99127960
78, 010, 613400243, 267926749, 266201956, S1200, Usvi Hwy 60, 7079, , , , , , , S, N, N, Y, N, , N, , N, N, , N, N, N, 407152263, 407152235
78, 010, 613400053, 267926749, 267926749, S1400, , , , , , , , , , N, N, Y, N, , N, , N, N, , N, N, N, 407152142, 99127988
78, 010, 652834871, 267926751, 267926751, S1400, Mac Dr, , , , , , , , S, N, N, Y, N, , N, , N, N, , N, N, N, 428424189, 99123996
78, 010, 652834887, 267926751, 267926750, P0001, , , , , , , , , , N, N, N, N, , N, , , , , N, N, N, 428424189, 428424194
78, 010, 635720069, 267926755, 267926755, S1400, Terrance Rd, 12953, , , , , , , S, N, N, Y, N, , N, , N, N, , N, N, N, 423310270, 99123893
78, 010, 635720033, 267926749, 258450984, S1200, Usvi Hwy 60, 7079, , , , , , , S, N, N, Y, N, , N, , N, N, , N, N, N, 423310255, 99127989
78, 010, 641808803, 267926759, 263681825, S1500, , , , , , , , , , N, N, Y, N, , N, , , N, , N, N, N, 425099075, 425099076
78, 010, 652834913, 267926763, 267926766, P0001, , , , , , , , , , N, N, N, N, , N, , , , , N, N, N, 428424204, 428424203
78, 010, 653000523, 268013215, 268013214, P0001, , , , , , , , , , N, N, N, N, , N, , , , , N, N, N, 425314063, 423311058
78, 010, 641274348, 261656561, 265959202, S1200, Pine Tree Rd, , , , , , , , S, N, N, Y, N, , N, , N, N, , N, N, N, 99124754, 99124757
78, 010, 640663959, 268164240, 263125470, L4140, , , , , , , , , , N, N, N, Y, , N, , , N, , N, N, N, 424626962, 424626963
78, 010, 640673238, 268164240, 263125440, S1200, Usvi Hwy 63, , , , , , , , S, N, N, Y, N, , N, , , N, , N, N, N, 424631242, 99129269
78, 010, 613397542, 263130746, 263130734, S1750, , , , , , , , , , N, N, Y, N, , N, , , N, , N, N, N, 407150685, 407150700
78, 010, 641274349, 227205518, 261649064, S1400, , , , , , , , , , N, N, Y, N, , N, , N, N, , N, N, N, 99124818, 99124819
78, 010, 204613373, 227205575, 266206563, S1200, Emancipation Dr, 7079, , , , , , , S, N, N, Y, N, , N, , N, N, , N, N, N, 99124089, 99124137
78, 010, 613398234, 227206617, 227205710, S1780, , , , , , , , , , N, N, Y, N, , N, , , N, , N, N, N, 407151088, 407151089
78, 010, 641716363, 263092090, 263092083, S1400, Whim Rd, , , , , , , , S, N, N, Y, N, , N, , N, N, , N, N, N, 407153371, 424619685
78, 010, 640663480, 230369119, 230369119, S1400, , , , , , , , , , N, N, Y, N, , N, , , N, , N, N, N, 423298532, 424626796
78, 010, 640663476, 230369119, 230369119, S1750, , , , , , , , , , N, N, Y, N, , N, , , N, , N, N, N, 424626794, 424626795
78, 010, 648385381, 266206549, 206182778, S1400, , 7079, , , , , , , , N, N, Y, N, , N, , N, N, , N, N, N, 99124870, 426813710
78, 010, 647876360, 267942693, 265956921, L4150, Caribbean, , , , , , , , L, N, N, N, Y, , N, , , N, , N, N, N, 408500191, 423313864
78, 010, 635718596, 266196522, 258450179, P0001, , , , , , , , , , N, N, N, N, , N, , , , , N, N, N, 99124130, 423309698
78, 010, 640662108, 264133381, 206182767, S1400, Paradiso Ave, 7079, , , , , , , S, N, N, Y, N, , N, , N, N, , N, N, N, 99124843, 424626217
78, 010, 204608531, 263943285, 206182702, P0001, , , , , , , , , , N, N, N, N, , N, , , , , N, N, N, 99124679, 99124680
78, 010, 640598753, 265951622, 263092086, S1400, , 7079, , , , , , , , N, N, Y, N, , N, , N, N, , N, N, N, 407153369, 424619689
78, 010, 204608600, 265951622, 206182724, S1200, Usvi Hwy 701, 7079, , , , , , , S, N, N, Y, N, , N, , , N, , N, N, N, 99124737, 99124742
78, 010, 204608607, 265951622, 206182727, S1200, Usvi Hwy 701, 7079, , , , , , , S, N, N, Y, N, , N, , , N, , N, N, N, 99124742, 99124744
78, 010, 641274367, 265959168, 263414034, S1200, Whim Rd, 7079, , , , , , , S, N, N, Y, N, , N, , N, N, , N, N, N, 423296091, 424626871
78, 010, 632052888, 265959168, 265959168, S1750, , , , , , , , , , N, N, Y, N, , N, , , N, , N, N, N, 421622499, 421622495
78, 010, 640663735, 265959168, 265959168, S1400, , , , , , , , , , N, N, Y, N, , N, , , N, , N, N, N, 424626859, 424626860
78, 010, 640663745, 265959168, 265959168, S1400, , , , , , , , , , N, N, Y, N, , N, , , N, , N, N, N, 424626863, 424626864
78, 010, 640663752, 265959168, 265959168, S1400, , , , , , , , , , N, N, Y, N, , N, , , N, , N, N, N, 424626865, 424626869
